,Latitude,Longitude,Medal Ceremony?,Sport Group,Events,Datetime,Sport,Venue
0,37.72216480340486,140.3640114979229,False,Baseball,Australia vs Japan,2021-07-21 01:00:00,Baseball/Softball,Fukushima Azuma Baseball Stadium
1,37.72216480340486,140.3640114979229,False,Baseball,Italy vs United States,2021-07-21 01:00:00,Baseball/Softball,Fukushima Azuma Baseball Stadium
2,37.72216480340486,140.3640114979229,False,Baseball,Mexico vs Canada,2021-07-21 01:00:00,Baseball/Softball,Fukushima Azuma Baseball Stadium
3,37.72216480340486,140.3640114979229,False,Baseball,United States vs Canada,2021-07-22 01:00:00,Baseball/Softball,Fukushima Azuma Baseball Stadium
4,37.72216480340486,140.3640114979229,False,Baseball,Mexico vs Japan,2021-07-22 01:00:00,Baseball/Softball,Fukushima Azuma Baseball Stadium
5,37.72216480340486,140.3640114979229,False,Baseball,Italy vs Australia,2021-07-22 01:00:00,Baseball/Softball,Fukushima Azuma Baseball Stadium
6,43.01517544330762,141.41041300340524,False,Football,Women's Group E: Great Britain vs Chile,2021-07-21 08:30:00,Football,Sapporo Dome
7,43.01517544330762,141.41041300340524,False,Football,Women's Group E: Japan vs Canada,2021-07-21 08:30:00,Football,Sapporo Dome
8,43.01517544330762,141.41041300340524,False,Football,Men's Group C: Egypt vs Spain,2021-07-22 08:30:00,Football,Sapporo Dome
9,43.01517544330762,141.41041300340524,False,Football,Men's Group C: Argentina vs Australia,2021-07-22 08:30:00,Football,Sapporo Dome
10,43.01517544330762,141.41041300340524,False,Football,Women's Group E: Chile vs Canada,2021-07-24 08:30:00,Football,Sapporo Dome
11,43.01517544330762,141.41041300340524,False,Football,Women's Group E: Japan vs Great Britain,2021-07-24 08:30:00,Football,Sapporo Dome
12,43.01517544330762,141.41041300340524,False,Football,Men's Group C: Egypt vs Argentina,2021-07-25 08:30:00,Football,Sapporo Dome
13,43.01517544330762,141.41041300340524,False,Football,Men's Group C: Australia vs Spain,2021-07-25 08:30:00,Football,Sapporo Dome
14,43.01517544330762,141.41041300340524,False,Football,Men's Group B: Romania vs New Zealand,2021-07-28 09:30:00,Football,Sapporo Dome
15,43.01517544330762,141.41041300340524,False,Football,Men's Group A: South Africa vs Mexico,2021-07-28 09:30:00,Football,Sapporo Dome
16,38.33557331725407,140.95096377309127,False,Football,Women's Group F: China vs Brazil,2021-07-21 09:00:00,Football,Miyagi Stadium
17,38.33557331725407,140.95096377309127,False,Football,Women's Group F: Zambia vs Netherlands,2021-07-21 09:00:00,Football,Miyagi Stadium
18,38.33557331725407,140.95096377309127,False,Football,Women's Group F: China vs Zambia,2021-07-24 09:00:00,Football,Miyagi Stadium
19,38.33557331725407,140.95096377309127,False,Football,Women's Group F: Netherlands vs Brazil,2021-07-24 09:00:00,Football,Miyagi Stadium
20,38.33557331725407,140.95096377309127,False,Football,Women's Group G: New Zealand vs Sweden,2021-07-27 09:00:00,Football,Miyagi Stadium
21,38.33557331725407,140.95096377309127,False,Football,Women's Group E: Chile vs Japan,2021-07-27 09:00:00,Football,Miyagi Stadium
22,38.33557331725407,140.95096377309127,False,Football,Men's Group D: Germany vs Côte d'Ivoire,2021-07-28 09:00:00,Football,Miyagi Stadium
23,38.33557331725407,140.95096377309127,False,Football,Women's Quarterfinal (4 matches),2021-07-30 09:00:00,Football,Miyagi Stadium
24,38.33557331725407,140.95096377309127,False,Football,Men's Quarterfinal (4 matches),2021-07-31 09:00:00,Football,Miyagi Stadium
25,35.66446761779039,139.52756286092847,False,Football,Women's Group G: Sweden vs United States,2021-07-21 09:30:00,Football,Tokyo Stadium
26,35.66446761779039,139.52756286092847,False,Football,Women's Group G: Australia vs New Zealand,2021-07-21 09:30:00,Football,Tokyo Stadium
27,35.66446761779039,139.52756286092847,False,Football,Men's Group A: Mexico vs France,2021-07-22 09:00:00,Football,Tokyo Stadium
28,35.66446761779039,139.52756286092847,False,Football,Men's Group A: Japan vs South Africa ,2021-07-22 09:00:00,Football,Tokyo Stadium
29,35.99213056967567,140.64152126184229,False,Football,Men's Group B: New Zealand vs Republic of Korea,2021-07-22 09:00:00,Football,Ibaraki Kashima Stadium
30,35.99213056967567,140.64152126184229,False,Football,Men's Group C: Honduras vs Romania,2021-07-22 09:00:00,Football,Ibaraki Kashima Stadium
31,35.99213056967567,140.64152126184229,False,Football,Men's Group D: Côte d'Ivoire vs Saudi Arabia,2021-07-22 09:30:00,Football,Ibaraki Kashima Stadium
32,35.99213056967567,140.64152126184229,False,Football,Men's Group D: Brazil vs Germany,2021-07-22 09:30:00,Football,Ibaraki Kashima Stadium
33,35.99213056967567,140.64152126184229,False,Football, Women's Group G: United States vs Australia,2021-07-27 09:00:00,Football,Ibaraki Kashima Stadium
34,35.99213056967567,140.64152126184229,False,Football,Women's Semifinal (2 matches),2021-08-02 09:00:00,Football,Ibaraki Kashima Stadium
35,35.99213056967567,140.64152126184229,False,Football,Men's Semifinal (2 matches),2021-08-03 09:00:00,Football,Ibaraki Kashima Stadium
36,35.99213056967567,140.64152126184229,False,Football,Women's Bronze Medal Match,2021-08-05 09:00:00,Football,Ibaraki Kashima Stadium
37,35.60796457817903,139.8147625026683,False,Rowing,Men's Single Sculls Heats,2021-07-23 00:30:00,Rowing,Sea Forest Waterway
38,35.60796457817903,139.8147625026683,False,Rowing,Women's Single Sculls Heats,2021-07-23 00:30:00,Rowing,Sea Forest Waterway
39,35.60796457817903,139.8147625026683,False,Rowing,Men's Double Sculls Heats,2021-07-23 00:30:00,Rowing,Sea Forest Waterway
40,35.60796457817903,139.8147625026683,False,Rowing,Women's Double Sculls Heats,2021-07-23 00:30:00,Rowing,Sea Forest Waterway
41,35.60796457817903,139.8147625026683,False,Rowing,Men's Quadruple Sculls Heats,2021-07-23 00:30:00,Rowing,Sea Forest Waterway
42,35.60796457817903,139.8147625026683,False,Rowing,Women's Quadruple Sculls Heats,2021-07-23 00:30:00,Rowing,Sea Forest Waterway
43,35.60796457817903,139.8147625026683,False,Rowing,Women's Single Sculls Repechages,2021-07-24 00:30:00,Rowing,Sea Forest Waterway
44,35.60796457817903,139.8147625026683,False,Rowing,Men's Single Sculls Repechages,2021-07-24 00:30:00,Rowing,Sea Forest Waterway
45,35.60796457817903,139.8147625026683,False,Rowing,Women's Double Sculls Repechage,2021-07-24 00:30:00,Rowing,Sea Forest Waterway
46,35.60796457817903,139.8147625026683,False,Rowing,Men's Double Sculls Repechage,2021-07-24 00:30:00,Rowing,Sea Forest Waterway
47,35.60796457817903,139.8147625026683,False,Rowing,Women's Pair Heats,2021-07-24 00:30:00,Rowing,Sea Forest Waterway
48,35.60796457817903,139.8147625026683,False,Rowing,Men's Pair Heats,2021-07-24 00:30:00,Rowing,Sea Forest Waterway
