,Date,Sick Count
0,2021-04-01,0
1,2021-04-02,0
2,2021-04-03,0
3,2021-04-04,0
4,2021-04-05,0
5,2021-04-06,0
6,2021-04-07,0
7,2021-04-08,0
8,2021-04-09,0
9,2021-04-10,0
10,2021-04-11,0
11,2021-04-12,0
12,2021-04-13,0
13,2021-04-14,0
14,2021-04-15,0
15,2021-04-16,0
16,2021-04-17,0
17,2021-04-18,0
18,2021-04-19,0
19,2021-04-20,0
20,2021-04-21,0
21,2021-04-22,0
22,2021-04-23,0
23,2021-04-24,0
24,2021-04-25,0
25,2021-04-26,0
26,2021-04-27,0
27,2021-04-28,0
28,2021-04-29,0
29,2021-04-30,0
30,2021-05-01,0
31,2021-05-02,0
32,2021-05-03,0
33,2021-05-04,0
34,2021-05-05,0
35,2021-05-06,0
36,2021-05-07,0
37,2021-05-08,0
38,2021-05-09,0
39,2021-05-10,0
40,2021-05-11,0
41,2021-05-12,0
42,2021-05-13,0
43,2021-05-14,0
44,2021-05-15,0
45,2021-05-16,0
46,2021-05-17,0
47,2021-05-18,9
48,2021-05-19,9
49,2021-05-20,9
50,2021-05-21,9
51,2021-05-22,9
52,2021-05-23,9
53,2021-05-24,0
54,2021-05-25,0
55,2021-05-26,0
56,2021-05-27,0
57,2021-05-28,0
58,2021-05-29,0
59,2021-05-30,0
60,2021-05-31,0
